body text,type of email
"Hi Alex, just checking in to ensure everything is running smoothly on your end. Best, Noah",Safe Email
"Hi Morgan, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hello Casey, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Hello Chris, please review the attached invoice for this month's services. Thank you, Ethan",Safe Email
"Dear Chris, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hi Jane, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Dear Alex, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi Jordan, thank you for attending the recent seminar. Your participation made a difference. Cheers, Mia",Safe Email
"Hello Alex, we're excited to share the latest updates from our team. Hope you find them useful. Best, Sophia",Safe Email
"Dear John, thank you for your prompt response. We'll proceed as agreed. Warm regards, Michael",Safe Email
"Hi Chris, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Michael",Safe Email
"Hi Casey, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Hi Jane, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Alex, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hi John, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Dear John, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Ava",Safe Email
"Dear Jordan, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Jordan, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hello Sam, please review the attached invoice for this month's services. Thank you, Ava",Safe Email
"Hello John, we're excited to share the latest updates from our team. Hope you find them useful. Best, Emily",Safe Email
"Dear Sam, thank you for your prompt response. We'll proceed as agreed. Warm regards, Liam",Safe Email
"Dear John, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Taylor, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hi Drew, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Dear Morgan, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hello Chris, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hi Jordan, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Noah",Safe Email
"Dear Drew, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Dear Jordan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Olivia",Safe Email
"Dear Chris, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Daniel",Safe Email
"Dear Casey, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Morgan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Daniel",Safe Email
"Hi Drew, just checking in to ensure everything is running smoothly on your end. Best, Ava",Safe Email
"Dear Taylor, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hi Taylor, just checking in to ensure everything is running smoothly on your end. Best, Noah",Safe Email
"Dear Alex, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hello Alex, we're excited to share the latest updates from our team. Hope you find them useful. Best, Michael",Safe Email
"Dear John, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Liam",Safe Email
"Dear Morgan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Daniel",Safe Email
"Dear Taylor, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Dear Morgan, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Liam",Safe Email
"Hi Sam, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Taylor, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Daniel",Safe Email
"Hello Casey, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hi Sam, thank you for attending the recent seminar. Your participation made a difference. Cheers, Ava",Safe Email
"Dear Morgan, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Emily",Safe Email
"Hi Jordan, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Hello Sam, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Dear Taylor, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Jordan, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Dear Chris, thank you for your prompt response. We'll proceed as agreed. Warm regards, Noah",Safe Email
"Hi Jordan, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Dear Drew, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Dear Alex, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hello Drew, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Daniel",Safe Email
"Dear Sam, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Morgan, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hi Drew, just checking in to ensure everything is running smoothly on your end. Best, Olivia",Safe Email
"Dear Sam, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hi Jordan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Hi Morgan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Chris, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi John, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Mia",Safe Email
"Dear Taylor, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for 10 AM tomorrow. Best regards, Daniel",Safe Email
"Hi Jane, just checking in to ensure everything is running smoothly on your end. Best, Mia",Safe Email
"Hi Sam, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hi Morgan, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Daniel",Safe Email
"Dear Jane, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Mia",Safe Email
"Dear Alex, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hi Jane, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Emily",Safe Email
"Hello John, please review the attached invoice for this month's services. Thank you, Olivia",Safe Email
"Dear Sam, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Liam",Safe Email
"Hello Drew, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Dear John, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hello Casey, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Hi Casey, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Dear Jordan, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Hi Jane, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Daniel",Safe Email
"Dear Jordan, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Michael",Safe Email
"Hi Jane, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Hi Drew, thank you for attending the recent seminar. Your participation made a difference. Cheers, Michael",Safe Email
"Dear Casey, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Jane, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hello Morgan, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Olivia",Safe Email
