text,label
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,phishing sms
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,phishing sms
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",phishing sms
"Dear customer your PAY2TMKYC has been expired, Its will be bl0cked within 24 hour, please contact customer! Care ph  7679046492 at once to verify",phishing sms
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min.",phishing sms
"Todays Nunez-Cooper numbers ending 9167 are selected to receive a Rs.2,00,000 award. If you have a match please call 7044518857 quoting claim code 5001 standard rates apply",phishing sms
Englishvocabulary ululate: to mourn loudly and shrilly AD: Unlimited FREE calls to any mobile try out today app/tag://bit.ly/unlmtdfreecall share wid frnd,phishing sms
Friendly reminder- don't forget to confirm your SAM amend from the other day!explore://rghst.rocks/ GBs630y,phishing sms
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of$2000 CASH 18+only. To opt out txt X to 07786200117,phishing sms
You have been randomly selected for a BestBuy gift. Get your $1000 gift card at www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck,phishing sms
Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm,phishing sms
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,phishing sms
Loa!! Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help',phishing sms
Please call our customer service representative on FREEPHONE 0808 145 4744 between 9am-11pm as you have WON a guaranteed $3000 cash or $7000 prize!,phishing sms
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 100 FREE text + FREE camcorder Reply or Call 08000930705,phishing sms
FREE entry into our $250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,phishing sms
WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 6299257179,phishing sms
"Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-9840139557",phishing sms
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",phishing sms
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,phishing sms
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE!",phishing sms
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7",phishing sms
"(Help-Center Canada) You received a Transfer from The Government due to the CoronaVirus pandemic, Click:tags/search://23.254.215.52 to fill out your Application.",phishing sms
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min.",phishing sms
Congratulation! Your Mobile No was selected as a winner of E2000.000.00 on EURO-MEGA DRAW with Draw number EU-0906767 Email robertdep34@gmail.comfor claims,phishing sms
URGENT! We are trying to contact U. Todays draw shows that you have won a $2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,phishing sms
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 6299257179 Now!",phishing sms
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-8927307655 now. your profile will Block within 24 hr. Thank you PAYTM TEAM.,phishing sms
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,phishing sms
"449050000301 You have won a $2,000 price! To claim, call 09050000301.",phishing sms
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,phishing sms
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Cust care 07821230901,phishing sms
"449050000301 You have won a $2,000 price! To claim, call 09050000301.",phishing sms
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of$2000 CASH 18+only.,phishing sms
Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,phishing sms
"As a valued customer, I am pleased to advise you that following recent review of your Mobile No. you are awarded with a Rs.7,00,000 Bonus Prize, call 8927307655",phishing sms
"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 7908807538 to claim",phishing sms
Natalja (25/F) is inviting you to be her friend.  See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,phishing sms
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,phishing sms
"Congrats 2 mobile 3G Videophones R yours. call 09063458120 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl.",phishing sms
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,phishing sms
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,phishing sms
URGENT! Your Mobile number has been awarded with a $2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,phishing sms
URGENT! This is the 2nd attempt to contact U!U have WON $1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max$7. 50,phishing sms
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? Wit 100 free texts + Free Camcorder reply or call 08000930705,phishing sms
Dear (paytm)customer your paytm KYC has been suspended PAY-TM office PH 6200992462 Your Paytm A/C will block within 24hr Thank you.,phishing sms
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. $1.50 increments. Help08718728876",phishing sms
WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 8927307655,phishing sms
"This is the 2nd attempt to contract U, you have won this weeks top prize of either $1000 cash or $200 prize. Just call 09066361921",phishing sms
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,phishing sms
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only.",phishing sms
URGENT! We are trying to contact U. Todays draw shows that you have won a $2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,phishing sms
Free Msg: Ringtone!From: tag/list/posts://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,phishing sms
Moby Pub Quiz.Win a $100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP $1.50 008704050406 SP,phishing sms
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,phishing sms
eeta  (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat2708198,phishing sms
"Apple has detected an unauthorized sign-in to your Cloud account. If this message goes without reply, Apple will be forced to suspend your ID. Please verify this iCloud device by sending your correct Lynch Ltd ID and password via text message.",phishing sms
"URGENT!: Your Mobile No. was awarded a $2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",phishing sms
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Cust care 07821230901,phishing sms
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcord call 08000930705,phishing sms
