Email Text,Email Type
"Hi Dana, just a quick reminder that the budget review meeting is set for Monday at 9 AM.",Safe Email
"We've detected suspicious activity in your account. Verify your identity immediately.",Phishing Email
"Hello Chris, the Q2 sales summary is attached. Let me know if you have any questions.",Safe Email
"Your PayPal account has been restricted. Click here to lift the limitations.",Phishing Email
"Thanks for your order! Your package will ship within the next 48 hours.",Safe Email
"Claim your exclusive $1000 gift card now before it expires!",Phishing Email
"Hi Jasmine, it was great catching up during the networking event. Let's stay in touch.",Safe Email
"URGENT: Your email account will be deactivated in 24 hours. Click here to keep it active.",Phishing Email
"Here’s the final agenda for tomorrow’s product launch meeting.",Safe Email
"Your Netflix subscription has been suspended. Please update your billing details to continue access.",Phishing Email
"Hi Tom, please send me the updated headcount for Friday’s event.",Safe Email
"Amazon Security Alert: Someone tried to access your account from a new device. Click here to verify.",Phishing Email
"Welcome to the team, Sarah! We're excited to have you on board.",Safe Email
"Suspicious login attempt detected. If this wasn't you, secure your account now.",Phishing Email
"Attached is the finalized client presentation for tomorrow.",Safe Email
"Dear user, your Dropbox account is over storage limit. Upgrade to avoid losing files.",Phishing Email
"Let me know if you’re available to join the quarterly earnings review on Thursday.",Safe Email
"You've been selected to win a brand-new iPhone 14! Claim yours now.",Phishing Email
"Hey Emily, here’s a draft of the press release for your review.",Safe Email
"Microsoft Alert: Your credentials were used in an unauthorized login attempt.",Phishing Email
"Hi Alex, it was great chatting at the conference. Looking forward to collaborating soon.",Safe Email
"Final notice: Your tax refund is pending. Provide your details to receive it.",Phishing Email
"Reminder: Please submit your timecard by 5 PM today.",Safe Email
"Attention: Your Social Security Number has been suspended due to suspicious activity.",Phishing Email
"Hi team, let’s meet at 11 AM to go over the sprint backlog.",Safe Email
"You’ve exceeded your mailbox storage. Click here to increase your quota.",Phishing Email
"Welcome aboard! Your onboarding materials are attached.",Safe Email
"Unusual access pattern detected in your banking activity. Confirm identity now.",Phishing Email
"Hi Laura, here’s the revised version of the event schedule.",Safe Email
"Immediate Action Required: Your PayPal account has been flagged for review.",Phishing Email
"Just checking in on the status of the product demo video.",Safe Email
"Your health insurance has expired. Click here to renew coverage instantly.",Phishing Email
"Hi Nathan, can you confirm the catering order for tomorrow?",Safe Email
"You have 1 unread message from your bank. Click to read.",Phishing Email
"Monthly newsletter: Team highlights and upcoming events.",Safe Email
"Your Apple account has been locked. Reset your password immediately.",Phishing Email
"Attached is the invoice for last month's marketing campaign.",Safe Email
"You’ve won a MacBook Pro! Confirm your shipping details here.",Phishing Email
"Can we push the project meeting to 3 PM instead of 2?",Safe Email
"Security Alert: We’ve detected login attempts from a foreign IP.",Phishing Email
"Thanks for attending the design workshop! Slides are attached.",Safe Email
"Update your payment method to avoid service interruption.",Phishing Email
"Hi Jordan, just wanted to share the campaign stats from last week.",Safe Email
"Critical alert: Your bank account is at risk. Confirm your credentials.",Phishing Email
"Here’s the draft for the internal newsletter—feedback welcome!",Safe Email
"Congratulations! You've been pre-approved for a $5,000 credit line.",Phishing Email
"Quick heads-up: the meeting room has been changed to Room 5B.",Safe Email
"Recover your account now to avoid permanent lockout.",Phishing Email
"Hey team, amazing job on the release today!",Safe Email
"Your password expires in 24 hours. Click here to update it.",Phishing Email
"Let’s sync briefly at 2 PM to prep for the client call.",Safe Email
"Important: You’ve been selected for a security verification process.",Phishing Email
"Here’s the agenda for tomorrow’s check-in meeting.",Safe Email
"Unlock your account by completing this short verification.",Phishing Email
"Hi Paul, I’ve attached the updated quarterly projections.",Safe Email
"One-time login attempt detected. Validate activity here.",Phishing Email
"Thanks for the quick turnaround on the contracts!",Safe Email
"Unauthorized charge detected. Review and dispute now.",Phishing Email
"Just confirming our dinner reservation for Friday.",Safe Email
"Download your banking statement now to avoid late fees.",Phishing Email
"Please review the attached bug list before deployment.",Safe Email
"Security notice: Your credentials have been exposed. Reset now.",Phishing Email
"Awesome work on the proposal—client was very impressed.",Safe Email
"Claim your loyalty reward points now before they expire.",Phishing Email
"Friendly reminder: performance reviews are due by Friday.",Safe Email
"Verify your identity to avoid deactivation of your account.",Phishing Email
"Thanks for helping organize the charity event!",Safe Email
"Last warning: click to prevent permanent email suspension.",Phishing Email
"Join us for this month’s product town hall at 1 PM.",Safe Email
"Failure to act will result in access loss. Restore now.",Phishing Email
"Here’s the finalized slide deck for the marketing pitch.",Safe Email
"Hi Olivia, let’s catch up over coffee next week.",Safe Email
"Unusual sign-in behavior detected. Reset password now.",Phishing Email
"Welcome back! We’ve missed you at our events.",Safe Email
"Your package is on hold due to address mismatch. Confirm here.",Phishing Email
"Let’s regroup next Tuesday to plan Q3 roadmap.",Safe Email
"Action required: New device login detected.",Phishing Email
"Great job on the hiring event last week!",Safe Email
"You’ve been selected for a surprise gift! Click to claim.",Phishing Email
"Hey Rachel, sharing the latest website analytics report.",Safe Email
"Your cloud storage is full. Upgrade to continue syncing.",Phishing Email
"Please RSVP to next week’s strategy workshop.",Safe Email
"System alert: You must verify your login location.",Phishing Email
"Hi Terry, confirming your speaking slot at the summit.",Safe Email
"Reset your password to continue using our secure portal.",Phishing Email
"Hey Alex, looping in the client for feedback.",Safe Email
"Final reminder: Validate your billing information today.",Phishing Email
"Good luck on your presentation today—you're going to crush it!",Safe Email
"Failure to confirm your account will lead to permanent lock.",Phishing Email
"Quick update: Client has approved the storyboard edits.",Safe Email
"Payment failed. Please resubmit to continue your service.",Phishing Email
"Thanks again for joining the mentorship kickoff!",Safe Email
"You are eligible for government grant assistance. Apply now!",Phishing Email
"Hi Sam, let’s catch up after your client visit.",Safe Email
"Critical system alert: Admin access required.",Phishing Email
"Please see attached minutes from today’s meeting.",Safe Email
"Verify your activity to unlock your account immediately.",Phishing Email
"Hi Julia, here’s the schedule for this Friday’s demo.",Safe Email
"You've received an encrypted message. Decrypt here.",Phishing Email
"Quick note: New hire orientation is now at 10:30 AM.",Safe Email
