label,message
Scam,Invest $7976 now and get 10x returns in 24 hours!
Scam,Participate in our giveaway and win up to 0.26 BTC instantly!
Scam,Participate in our giveaway and win up to 3.92 BTC instantly!
Scam,Congratulations! You've won 0.7 BTC. Claim it now at mycryptosecure.com
Scam,Limited offer: Buy crypto and get a bonus of 438 USD worth of BTC.
Scam,Make $287 daily using our automated crypto trading bot. Sign up now!
Scam,Your transaction of 7857 USD in BTC is pending. Confirm now: btcfastpay.io
Scam,Make $196 daily using our automated crypto trading bot. Sign up now!
Scam,Congratulations! You've won 1.68 BTC. Claim it now at crypto-airdrop.org
Scam,Invest $3171 now and get 10x returns in 24 hours!
Scam,Congratulations! You've won 4.41 BTC. Claim it now at secure-btc.net
Scam,Congratulations! You've won 3.88 BTC. Claim it now at getfreebtc.info
Scam,Your transaction of 5844 USD in BTC is pending. Confirm now: btcfastpay.io
Scam,Participate in our giveaway and win up to 0.2 BTC instantly!
Scam,Participate in our giveaway and win up to 1.12 BTC instantly!
Scam,Your transaction of 4120 USD in BTC is pending. Confirm now: getfreebtc.info
Scam,Limited offer: Buy crypto and get a bonus of 233 USD worth of BTC.
Scam,Participate in our giveaway and win up to 1.22 BTC instantly!
Scam,Participate in our giveaway and win up to 0.52 BTC instantly!
Scam,Your transaction of 5164 USD in BTC is pending. Confirm now: crypto-airdrop.org
Scam,Invest $6706 now and get 2x returns in 24 hours!
Scam,Invest $2880 now and get 2x returns in 24 hours!
Scam,Your transaction of 7393 USD in BTC is pending. Confirm now: getfreebtc.info
Scam,Your transaction of 2707 USD in BTC is pending. Confirm now: mycryptosecure.com
Scam,Congratulations! You've won 3.05 BTC. Claim it now at getfreebtc.info
Scam,Your transaction of 2134 USD in BTC is pending. Confirm now: getfreebtc.info
Scam,Your transaction of 3678 USD in BTC is pending. Confirm now: mycryptosecure.com
Scam,Your transaction of 1514 USD in BTC is pending. Confirm now: crypto-airdrop.org
Scam,Limited offer: Buy crypto and get a bonus of 190 USD worth of BTC.
Scam,Make $195 daily using our automated crypto trading bot. Sign up now!
Scam,Congratulations! You've won 2.59 BTC. Claim it now at getfreebtc.info
Scam,Congratulations! You've won 1.81 BTC. Claim it now at getfreebtc.info
Scam,Congratulations! You've won 3.77 BTC. Claim it now at mycryptosecure.com
Scam,Congratulations! You've won 3.56 BTC. Claim it now at btcfastpay.io
Scam,Participate in our giveaway and win up to 4.78 BTC instantly!
Scam,Congratulations! You've won 1.44 BTC. Claim it now at getfreebtc.info
Scam,Limited offer: Buy crypto and get a bonus of 366 USD worth of BTC.
Scam,Make $109 daily using our automated crypto trading bot. Sign up now!
Scam,Congratulations! You've won 1.77 BTC. Claim it now at btcfastpay.io
Scam,Your transaction of 4096 USD in BTC is pending. Confirm now: secure-btc.net
Scam,Invest $7850 now and get 10x returns in 24 hours!
Scam,Your transaction of 7182 USD in BTC is pending. Confirm now: getfreebtc.info
Scam,Invest $720 now and get 3x returns in 24 hours!
Scam,Participate in our giveaway and win up to 3.58 BTC instantly!
Scam,Congratulations! You've won 1.89 BTC. Claim it now at crypto-airdrop.org
Scam,Your transaction of 5725 USD in BTC is pending. Confirm now: secure-btc.net
Scam,Your transaction of 9875 USD in BTC is pending. Confirm now: getfreebtc.info
Scam,Invest $8980 now and get 2x returns in 24 hours!
Scam,Your transaction of 1235 USD in BTC is pending. Confirm now: btcfastpay.io
Scam,Invest $5954 now and get 3x returns in 24 hours!
Scam,Participate in our giveaway and win up to 2.82 BTC instantly!
Scam,Invest $6265 now and get 5x returns in 24 hours!
Scam,Make $487 daily using our automated crypto trading bot. Sign up now!
Scam,Congratulations! You've won 3.77 BTC. Claim it now at crypto-airdrop.org
Scam,Limited offer: Buy crypto and get a bonus of 175 USD worth of BTC.
Scam,Your transaction of 5946 USD in BTC is pending. Confirm now: mycryptosecure.com
Scam,Make $336 daily using our automated crypto trading bot. Sign up now!
Scam,Congratulations! You've won 4.71 BTC. Claim it now at mycryptosecure.com
Scam,Your transaction of 8365 USD in BTC is pending. Confirm now: btcfastpay.io
Scam,Invest $2211 now and get 5x returns in 24 hours!
Scam,Your transaction of 5446 USD in BTC is pending. Confirm now: crypto-airdrop.org
Scam,Congratulations! You've won 1.94 BTC. Claim it now at getfreebtc.info
Scam,Your transaction of 8608 USD in BTC is pending. Confirm now: mycryptosecure.com
Scam,Your FTX account is under review. Verify now to avoid suspension: secure-btc.net
Scam,Your transaction of 8135 USD in BTC is pending. Confirm now: secure-btc.net
Scam,Claim your 5 free Ethereum (ETH) from the government crypto relief fund. Apply at btcfastpay.io
Scam,Your transaction of 6772 USD in BTC is pending. Confirm now: btcfastpay.io
Scam,You received a BTC payment. View your transaction details here: secure-btc.net
Scam,Congratulations! You've won 3.58 BTC. Claim it now at btcfastpay.io
Scam,Limited offer: Buy crypto and get a bonus of 379 USD worth of BTC.
Scam,Update your Blockchain security phrase to protect your funds: secure-btc.net
Scam,Congratulations! You've won 1.96 BTC. Claim it now at mycryptosecure.com
Scam,Make $380 daily using our automated crypto trading bot. Sign up now!
Scam,Limited offer: Buy crypto and get a bonus of 85 USD worth of BTC.
Scam,Your transaction of 358 USD in BTC is pending. Confirm now: mycryptosecure.com
Scam,Invest $9771 now and get 5x returns in 24 hours!
Scam,Limited offer: Buy crypto and get a bonus of 63 USD worth of BTC.
Scam,Congratulations! You've won 2.21 BTC. Claim it now at btcfastpay.io
Scam,Invest $3860 now and get 2x returns in 24 hours!
Scam,Congratulations! You've won 3.85 BTC. Claim it now at getfreebtc.info
Scam,Update your MetaMask security phrase to protect your funds: getfreebtc.info
Scam,Your transaction of 1817 USD in BTC is pending. Confirm now: btcfastpay.io
Scam,Make $400 daily using our automated crypto trading bot. Sign up now!
Scam,Participate in our giveaway and win up to 2.51 BTC instantly!
Scam,Invest $5461 now and get 5x returns in 24 hours!
Scam,Participate in our giveaway and win up to 0.62 BTC instantly!
