 Text,Label
POSB Security Notice: update security settings on your account. Click https://uob-protectonline.org to review. Ref: REF764007SG,Financial
URGENT: eStatement access issue has triggered a security hold on your UOB account. Resolve at https://sgbank-alerts.net,Financial
URGENT: fraud alert has triggered a security hold on your OCBC account. Resolve at https://uob-protectonline.org,Financial
[DBS] ALERT: Your account faces unauthorised transaction. Verify immediately at https://dbs-mobileverify.com [REF585465SG],Financial
OCBC Fraud Prevention: Action needed due to change in payee information. Proceed to: https://uob-protectonline.org Ref#REF686606SG,Financial
URGENT: risk alert has triggered a security hold on your POSB account. Resolve at https://myposb-auth.sg,Financial
Hi. UOB found a eStatement access issue. Login at https://bank-review-service.com for immediate assistance.,Financial
OCBC: We've detected login attempt from unknown device. Access secure portal to prevent suspension: https://sgbank-alerts.net,Financial
URGENT: unauthorised transaction has triggered a security hold on your Maybank SG account. Resolve at https://uob-protectonline.org,Financial
"Dear customer, eStatement access issue detected. Your Maybank SG account access requires verification: https://myposb-auth.sg",Financial
URGENT: unauthorised transaction has triggered a security hold on your Maybank SG account. Resolve at https://sgbank-alerts.net,Financial
URGENT: fraud alert has triggered a security hold on your POSB account. Resolve at https://secure-update-ocbc.com,Financial
Hi. DBS found a unauthorised transaction. Login at https://uob-protectonline.org for immediate assistance.,Financial
UOB Fraud Prevention: Action needed due to risk alert. Proceed to: https://bank-review-service.com Ref#REF546437SG,Financial
UOB NOTICE: change in payee information. Please secure your account now via https://dbs-mobileverify.com Ref: REF667955SG,Financial
DBS NOTICE: security breach. Please secure your account now via https://dbs-mobileverify.com Ref: REF377646SG,Financial
Maybank SG NOTICE: change in payee information. Please secure your account now via https://uob-protectonline.org Ref: REF633144SG,Financial
UOB Security Notice: security breach on your account. Click https://myposb-auth.sg to review. Ref: REF910193SG,Financial
[DBS] ALERT: Your account faces temporary suspension. Verify immediately at https://uob-protectonline.org [REF384895SG],Financial
Maybank SG Fraud Prevention: Action needed due to temporary suspension. Proceed to: https://uob-protectonline.org Ref#REF203476SG,Financial
POSB Security Notice: update security settings on your account. Click https://secure-update-ocbc.com to review. Ref: REF955089SG,Financial
Hi. DBS found a security breach. Login at https://uob-protectonline.org for immediate assistance.,Financial
URGENT: blocked account has triggered a security hold on your POSB account. Resolve at https://sgbank-alerts.net,Financial
DBS Fraud Prevention: Action needed due to pending transfer. Proceed to: https://sgbank-alerts.net Ref#REF696377SG,Financial
OCBC NOTICE: unauthorised transaction. Please secure your account now via https://sgbank-alerts.net Ref: REF979968SG,Financial
OCBC NOTICE: fraud alert. Please secure your account now via https://myposb-auth.sg Ref: REF435115SG,Financial
[POSB] ALERT: Your account faces eStatement access issue. Verify immediately at https://sgbank-alerts.net [REF981647SG],Financial
URGENT: temporary suspension has triggered a security hold on your UOB account. Resolve at https://dbs-mobileverify.com,Financial
Hi. UOB found a eStatement access issue. Login at https://uob-protectonline.org for immediate assistance.,Financial
UOB Security Notice: unauthorised transaction on your account. Click https://sgbank-alerts.net to review. Ref: REF214656SG,Financial
[POSB] ALERT: Your account faces unusual withdrawal. Verify immediately at https://bank-review-service.com [REF526692SG],Financial
UOB Security Notice: 2FA error on your account. Click https://dbs-mobileverify.com to review. Ref: REF952971SG,Financial
POSB Fraud Prevention: Action needed due to unauthorised transaction. Proceed to: https://dbs-mobileverify.com Ref#REF220197SG,Financial
OCBC Security Notice: change in payee information on your account. Click https://dbs-mobileverify.com to review. Ref: REF234833SG,Financial
DBS: We've detected pending transfer. Access secure portal to prevent suspension: https://uob-protectonline.org,Financial
POSB NOTICE: login attempt from unknown device. Please secure your account now via https://bank-review-service.com Ref: REF619012SG,Financial
URGENT: security breach has triggered a security hold on your Maybank SG account. Resolve at https://dbs-mobileverify.com,Financial
POSB Security Notice: risk alert on your account. Click https://dbs-mobileverify.com to review. Ref: REF610697SG,Financial
URGENT: fraud alert has triggered a security hold on your DBS account. Resolve at https://uob-protectonline.org,Financial
UOB Security Notice: temporary suspension on your account. Click https://uob-protectonline.org to review. Ref: REF574692SG,Financial
Maybank SG Security Notice: blocked account on your account. Click https://myposb-auth.sg to review. Ref: REF918938SG,Financial
URGENT: 2FA error has triggered a security hold on your POSB account. Resolve at https://sgbank-alerts.net,Financial
DBS Fraud Prevention: Action needed due to fraud alert. Proceed to: https://sgbank-alerts.net Ref#REF625713SG,Financial
POSB NOTICE: update security settings. Please secure your account now via https://bank-review-service.com Ref: REF260234SG,Financial
POSB NOTICE: temporary suspension. Please secure your account now via https://secure-update-ocbc.com Ref: REF754207SG,Financial
[DBS] ALERT: Your account faces pending transfer. Verify immediately at https://uob-protectonline.org [REF752554SG],Financial
OCBC NOTICE: security breach. Please secure your account now via https://secure-update-ocbc.com Ref: REF790702SG,Financial
"Dear customer, urgent bank verification detected. Your OCBC account access requires verification: https://dbs-mobileverify.com",Financial
Hi. UOB found a update security settings. Login at https://uob-protectonline.org for immediate assistance.,Financial
OCBC NOTICE: policy update. Please secure your account now via https://dbs-mobileverify.com Ref: REF265797SG,Financial
[DBS] ALERT: Your account faces security breach. Verify immediately at https://secure-update-ocbc.com [REF967214SG],Financial
"Dear customer, update security settings detected. Your DBS account access requires verification: https://sgbank-alerts.net",Financial
UOB NOTICE: login attempt from unknown device. Please secure your account now via https://myposb-auth.sg Ref: REF486390SG,Financial
DBS NOTICE: unusual withdrawal. Please secure your account now via https://bank-review-service.com Ref: REF312831SG,Financial
DBS NOTICE: risk alert. Please secure your account now via https://uob-protectonline.org Ref: REF383525SG,Financial
UOB Security Notice: risk alert on your account. Click https://myposb-auth.sg to review. Ref: REF651328SG,Financial
POSB Fraud Prevention: Action needed due to security breach. Proceed to: https://uob-protectonline.org Ref#REF674027SG,Financial
POSB Security Notice: risk alert on your account. Click https://bank-review-service.com to review. Ref: REF940738SG,Financial
Hi. Maybank SG found a unusual withdrawal. Login at https://uob-protectonline.org for immediate assistance.,Financial
OCBC Security Notice: policy update on your account. Click https://secure-update-ocbc.com to review. Ref: REF630851SG,Financial
[UOB] ALERT: Your account faces eStatement access issue. Verify immediately at https://bank-review-service.com [REF977909SG],Financial
OCBC NOTICE: temporary suspension. Please secure your account now via https://dbs-mobileverify.com Ref: REF977621SG,Financial
OCBC NOTICE: unauthorised transaction. Please secure your account now via https://bank-review-service.com Ref: REF816055SG,Financial
UOB Fraud Prevention: Action needed due to temporary suspension. Proceed to: https://bank-review-service.com Ref#REF284108SG,Financial
DBS NOTICE: urgent bank verification. Please secure your account now via https://bank-review-service.com Ref: REF952716SG,Financial
Hi. POSB found a pending transfer. Login at https://bank-review-service.com for immediate assistance.,Financial
"Dear customer, 2FA error detected. Your OCBC account access requires verification: https://myposb-auth.sg",Financial
OCBC: We've detected unauthorised transaction. Access secure portal to prevent suspension: https://myposb-auth.sg,Financial
DBS NOTICE: risk alert. Please secure your account now via https://myposb-auth.sg Ref: REF408187SG,Financial
URGENT: urgent bank verification has triggered a security hold on your Maybank SG account. Resolve at https://sgbank-alerts.net,Financial
Hi. DBS found a urgent bank verification. Login at https://myposb-auth.sg for immediate assistance.,Financial
POSB Fraud Prevention: Action needed due to unauthorised transaction. Proceed to: https://bank-review-service.com Ref#REF237187SG,Financial
POSB Fraud Prevention: Action needed due to risk alert. Proceed to: https://bank-review-service.com Ref#REF800091SG,Financial
UOB Fraud Prevention: Action needed due to security breach. Proceed to: https://myposb-auth.sg Ref#REF459143SG,Financial
"Dear customer, unauthorised transaction detected. Your Maybank SG account access requires verification: https://sgbank-alerts.net",Financial
Maybank SG Security Notice: risk alert on your account. Click https://myposb-auth.sg to review. Ref: REF721653SG,Financial
OCBC Security Notice: 2FA error on your account. Click https://myposb-auth.sg to review. Ref: REF950698SG,Financial
Maybank SG Security Notice: urgent bank verification on your account. Click https://uob-protectonline.org to review. Ref: REF875394SG,Financial
URGENT: update security settings has triggered a security hold on your DBS account. Resolve at https://uob-protectonline.org,Financial
UOB Security Notice: change in payee information on your account. Click https://secure-update-ocbc.com to review. Ref: REF501939SG,Financial
Maybank SG Fraud Prevention: Action needed due to risk alert. Proceed to: https://bank-review-service.com Ref#REF533098SG,Financial
Maybank SG NOTICE: security breach. Please secure your account now via https://bank-review-service.com Ref: REF293985SG,Financial
URGENT: pending transfer has triggered a security hold on your DBS account. Resolve at https://secure-update-ocbc.com,Financial
POSB Fraud Prevention: Action needed due to security breach. Proceed to: https://myposb-auth.sg Ref#REF106438SG,Financial
URGENT: login attempt from unknown device has triggered a security hold on your POSB account. Resolve at https://dbs-mobileverify.com,Financial
URGENT: pending transfer has triggered a security hold on your DBS account. Resolve at https://uob-protectonline.org,Financial
POSB NOTICE: eStatement access issue. Please secure your account now via https://bank-review-service.com Ref: REF939863SG,Financial
OCBC Fraud Prevention: Action needed due to urgent bank verification. Proceed to: https://sgbank-alerts.net Ref#REF495192SG,Financial
[UOB] ALERT: Your account faces fraud alert. Verify immediately at https://uob-protectonline.org [REF697153SG],Financial
Maybank SG Fraud Prevention: Action needed due to unauthorised transaction. Proceed to: https://uob-protectonline.org Ref#REF352789SG,Financial
Hi. Maybank SG found a change in payee information. Login at https://secure-update-ocbc.com for immediate assistance.,Financial
POSB NOTICE: policy update. Please secure your account now via https://uob-protectonline.org Ref: REF246371SG,Financial
DBS NOTICE: security breach. Please secure your account now via https://bank-review-service.com Ref: REF314937SG,Financial
URGENT: login attempt from unknown device has triggered a security hold on your UOB account. Resolve at https://dbs-mobileverify.com,Financial
UOB: We've detected fraud alert. Access secure portal to prevent suspension: https://sgbank-alerts.net,Financial
Hi. OCBC found a risk alert. Login at https://secure-update-ocbc.com for immediate assistance.,Financial
URGENT: unusual withdrawal has triggered a security hold on your UOB account. Resolve at https://dbs-mobileverify.com,Financial
OCBC Security Notice: unusual withdrawal on your account. Click https://myposb-auth.sg to review. Ref: REF396709SG,Financial
Hi. Maybank SG found a update security settings. Login at https://uob-protectonline.org for immediate assistance.,Financial
[UOB] ALERT: Your account faces change in payee information. Verify immediately at https://myposb-auth.sg [REF334418SG],Financial
DBS: We've detected fraud alert. Access secure portal to prevent suspension: https://uob-protectonline.org,Financial
"Dear customer, risk alert detected. Your OCBC account access requires verification: https://sgbank-alerts.net",Financial
[Maybank SG] ALERT: Your account faces eStatement access issue. Verify immediately at https://bank-review-service.com [REF790575SG],Financial
Hi. POSB found a 2FA error. Login at https://uob-protectonline.org for immediate assistance.,Financial
DBS Security Notice: eStatement access issue on your account. Click https://dbs-mobileverify.com to review. Ref: REF538658SG,Financial
DBS Security Notice: unusual withdrawal on your account. Click https://dbs-mobileverify.com to review. Ref: REF369950SG,Financial
URGENT: policy update has triggered a security hold on your OCBC account. Resolve at https://dbs-mobileverify.com,Financial
UOB: We've detected risk alert. Access secure portal to prevent suspension: https://bank-review-service.com,Financial
URGENT: unusual withdrawal has triggered a security hold on your DBS account. Resolve at https://myposb-auth.sg,Financial
Hi. UOB found a update security settings. Login at https://bank-review-service.com for immediate assistance.,Financial
OCBC Security Notice: temporary suspension on your account. Click https://uob-protectonline.org to review. Ref: REF260259SG,Financial
