body,label
FINAL NOTICE: We have been trying to contact you regarding your unpaid taxes. Immediate action is required.,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://update.example.com/2727,1
You have an unclaimed inheritance of $356553. Contact us to process your claim.,1
"Dear Jordan, I am a prince from Cameroon and I need your help transferring $10 million. You will be rewarded.",1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://update.example.com/3642,1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://secure.example.com/5040,1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://secure.example.com/3882,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
FINAL NOTICE: We have been trying to contact you regarding your unpaid taxes. Immediate action is required.,1
We detected suspicious activity in your bank account. Confirm your details immediately at: http://login.example.com/3625,1
"Hello Chris, your email has won a new iPhone! Provide your shipping address to receive it.",1
We detected suspicious activity in your bank account. Confirm your details immediately at: http://update.example.com/8433,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
We are updating our system. Please verify your identity by entering your credit card number here: http://login.example.com/4946,1
"Hello Chris, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
Congratulations! You've won $241828 in our international lottery. Please send your bank details to claim your prize.,1
Your PayPal account has been suspended. Log in here to restore access: http://update.example.com/6523,1
FINAL NOTICE: We have been trying to contact you regarding your unpaid taxes. Immediate action is required.,1
We are updating our system. Please verify your identity by entering your credit card number here: http://update.example.com/8212,1
"Hello Taylor, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
You have an unclaimed inheritance of $40077. Contact us to process your claim.,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
FINAL NOTICE: We have been trying to contact you regarding your unpaid taxes. Immediate action is required.,1
We detected suspicious activity in your bank account. Confirm your details immediately at: http://verify.example.com/8265,1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://secure.example.com/2410,1
Security Alert: Someone tried to log into your account. Confirm it's you by clicking this link: http://secure.example.com/3214,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
This is a message from Microsoft Support. Your computer is infected. Call us now at +1-898-595-3987 for assistance.,1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://update.example.com/9161,1
You have an unclaimed inheritance of $776287. Contact us to process your claim.,1
"Hi Alex, I’m stranded abroad and need money urgently. Please wire $1,000 to help me.",1
"Hi Emily, I’m stranded abroad and need money urgently. Please wire $1,000 to help me.",1
"Hello Pat, your email has won a new iPhone! Provide your shipping address to receive it.",1
"Dear Alex, I am a prince from Nigeria and I need your help transferring $10 million. You will be rewarded.",1
"Hello Emily, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
"Hello John, your email has won a new iPhone! Provide your shipping address to receive it.",1
You have been selected for a government grant of $385467. Submit your SSN to receive it.,1
You have an unclaimed inheritance of $491033. Contact us to process your claim.,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
We are updating our system. Please verify your identity by entering your credit card number here: http://login.example.com/2937,1
You have an unclaimed inheritance of $824446. Contact us to process your claim.,1
This is a message from Microsoft Support. Your computer is infected. Call us now at +1-856-673-1321 for assistance.,1
This is a message from Microsoft Support. Your computer is infected. Call us now at +1-852-147-9552 for assistance.,1
"Hi Casey, I’m stranded abroad and need money urgently. Please wire $1,000 to help me.",1
"Hello Pat, your email has won a new iPhone! Provide your shipping address to receive it.",1
Congratulations! You've won $295777 in our international lottery. Please send your bank details to claim your prize.,1
FINAL NOTICE: We have been trying to contact you regarding your unpaid taxes. Immediate action is required.,1
You have an unclaimed inheritance of $98134. Contact us to process your claim.,1
"Dear Jordan, I am a prince from Pakistan and I need your help transferring $10 million. You will be rewarded.",1
Earn money working from home! Just fill out this form with your personal details to get started.,1
You have an unclaimed inheritance of $881887. Contact us to process your claim.,1
You have an unclaimed inheritance of $52157. Contact us to process your claim.,1
"Dear Taylor, I am a prince from Kuwait and I need your help transferring $10 million. You will be rewarded.",1
Your PayPal account has been suspended. Log in here to restore access: http://login.example.com/1377,1
We detected suspicious activity in your bank account. Confirm your details immediately at: http://update.example.com/4709,1
Your PayPal account has been suspended. Log in here to restore access: http://login.example.com/9976,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
We are updating our system. Please verify your identity by entering your credit card number here: http://verify.example.com/8350,1
You have an unclaimed inheritance of $942207. Contact us to process your claim.,1
Congratulations! You've won $14841 in our international lottery. Please send your bank details to claim your prize.,1
Your PayPal account has been suspended. Log in here to restore access: http://update.example.com/2677,1
URGENT: Your account has been compromised. Click the link below to reset your password immediately: http://login.example.com/8112,1
You have been selected for a government grant of $888106. Submit your SSN to receive it.,1
You have been selected for a government grant of $194654. Submit your SSN to receive it.,1
You have been selected for a government grant of $788445. Submit your SSN to receive it.,1
This is a message from Microsoft Support. Your computer is infected. Call us now at +1-496-953-7148 for assistance.,1
Security Alert: Someone tried to log into your account. Confirm it's you by clicking this link: http://login.example.com/1060,1
This is a message from Microsoft Support. Your computer is infected. Call us now at +1-964-766-3716 for assistance.,1
Security Alert: Someone tried to log into your account. Confirm it's you by clicking this link: http://update.example.com/9914,1
"Hello Alex, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
"Hello Pat, your email has won a new iPhone! Provide your shipping address to receive it.",1
This is a message from Microsoft Support. Your computer is infected. Call us now at +1-222-623-4774 for assistance.,1
You have an unclaimed inheritance of $393103. Contact us to process your claim.,1
You have an unclaimed inheritance of $135883. Contact us to process your claim.,1
"Hello Morgan, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
Congratulations! You've won $646240 in our international lottery. Please send your bank details to claim your prize.,1
You have an unclaimed inheritance of $308032. Contact us to process your claim.,1
We detected suspicious activity in your bank account. Confirm your details immediately at: http://verify.example.com/9865,1
Earn money working from home! Just fill out this form with your personal details to get started.,1
Your PayPal account has been suspended. Log in here to restore access: http://update.example.com/8040,1
We are updating our system. Please verify your identity by entering your credit card number here: http://update.example.com/6353,1
Your PayPal account has been suspended. Log in here to restore access: http://login.example.com/7942,1
"Hello Pat, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
Congratulations! You've won $454713 in our international lottery. Please send your bank details to claim your prize.,1
"Hello Alex, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
"Hello Pat, I found your resume online. We have a job opening that pays $5,000 a week. Please respond with your full name and address.",1
We detected suspicious activity in your bank account. Confirm your details immediately at: http://login.example.com/6044,1
