text,label
AliExpress update: Your package #ORD2UQGY7 is undeliverable. Fix it: http://aliexpress-taxsg.com/resolve2UQGY7,1
SG Amazon Alert: You won a reward! Claim here: http://amaz-secure-alert.info/winN4G0ET,1
Taobao update: Your package #ORDOM9D4U is undeliverable. Fix it: http://taobao-sg-checkcom/resolveOM9D4U,1
Amazon - Order #ELIP3R is on hold. Verify shipping details: http://amazon-prime-sg-com/confirmELIP3R,1
Action Required: Shopee delivery could not be completed. Reschedule: http://shopee-delivery-status-net/resched6FV1JL,1
Reminder from AliExpress: Please verify your delivery info now: http://alx-payment-confirm-cn/verify2022FY,1
AliExpress: Tax not paid. Complete payment at: http://aliexpress-taxsg.com/taxZ3NFBN,1
"Amazon Notice: Item out for delivery, confirm address: http://amz-sg-warning-net/addressH59ITJ",1
Taobao SG: Issue with payment. Resolve here: http://tao-security-updateorg/fix7KAIZ6,1
"Dear user, your Shopee package is on hold. Act now: http://shp-sg-alert.co/hold8LBBH9",1
Shopee: We've suspended your account due to suspicious activity. Restore: http://shp-sg-alertco/resetEU3KXH,1
Shopee ALERT: Suspicious transaction flagged. Verify now: http://shp-sg-alert-co/checkI30DIL,1
AliExpress: Your recent order has been delayed. Track status: http://alx-payment-confirm.cn/orderMX3P3E,1
SG AliExpress Alert: You won a reward! Claim here: http://ali-shipment-alertco/winWJG0YB,1
Action Required: Lazada delivery could not be completed. Reschedule: http://lazada-update-sg/reschedM1KPUY,1
Taobao: Your parcel #9YERV1 was returned due to address mismatch. Update: http://tao-security-update.org/update9YERV1,1
Taobao: Final notice! Delivery of package #YZLJ4K failed. Fix info: http://tb-tracknoticecn/fixYZLJ4K,1
Shopee ALERT: Suspicious transaction flagged. Verify now: http://shopee-delivery-status-net/checkJX9D6G,1
AliExpress: Unusual login detected. Secure your account: http://aliexpress-taxsg-com/secureUASYJL,1
AliExpress SG: Customs fee required for delivery. Pay here: http://alx-payment-confirm-cn/customsPAFNA2,1
AliExpress update: Your package #ORDPDBQI9 is undeliverable. Fix it: http://ali-shipment-alertco/resolvePDBQI9,1
"Dear user, your AliExpress package is on hold. Act now: http://aliexpress-taxsg-com/holdJ1JME6",1
Taobao ALERT: Suspicious transaction flagged. Verify now: http://tao-security-updateorg/checkV5Q14M,1
Amazon: Your membership is expiring. Renew now: http://amaz-secure-alertinfo/renewN2SQYQ,1
Reminder from Taobao: Please verify your delivery info now: http://tb-tracknotice-cn/verify9YU1KX,1
Action Required: Shopee delivery could not be completed. Reschedule: http://shopee-sg-track.com/reschedIN2HOO,1
Shopee: Congratulations! You've been selected for a mystery prize. Confirm: http://shp-sg-alert-co/prizeSGZZXF,1
AliExpress: Your parcel #9EF4O2 was returned due to address mismatch. Update: http://aliexpress-taxsg-com/update9EF4O2,1
AliExpress: Gift for you! Redeem before expiry: http://aliexpress-taxsgcom/giftSLTWM2,1
Shopee: Gift for you! Redeem before expiry: http://shp-sg-alert-co/giftRLP4AZ,1
Taobao: Incomplete payment for item #6KC1QU. Complete payment: http://taobao-sg-check.com/pay6KC1QU,1
AliExpress: Gift for you! Redeem before expiry: http://aliexpress-taxsg-com/gift4QJVVE,1
Taobao - Order #EAKSTJ is on hold. Verify shipping details: http://tb-tracknoticecn/confirmEAKSTJ,1
Lazada: Your recent order has been delayed. Track status: http://laz-shipping-alert.org/order6MYN09,1
Reminder from Taobao: Please verify your delivery info now: http://tb-tracknoticecn/verify2S7SQ6,1
SG Amazon Alert: You won a reward! Claim here: http://amaz-secure-alert.info/winE3YW3B,1
Reminder from AliExpress: Please verify your delivery info now: http://alx-payment-confirmcn/verifyHAM0TI,1
Lazada: Tax not paid. Complete payment at: http://lazada-deliveryinfo.com/taxQ7B544,1
SG Lazada Alert: You won a reward! Claim here: http://lazada-deliveryinfo-com/winSEQOHP,1
Taobao: Your recent order has been delayed. Track status: http://tao-security-update-org/orderJMAB1P,1
Lazada SG: Customs fee required for delivery. Pay here: http://laz-shipping-alert.org/customs2DNCRF,1
Shopee update: Your package #ORDHGU95E is undeliverable. Fix it: http://shopee-sg-track-com/resolveHGU95E,1
SG Taobao Alert: You won a reward! Claim here: http://tb-tracknotice-cn/winLDT05I,1
Lazada: Tax not paid. Complete payment at: http://lazada-update.sg/taxM6CCRS,1
Taobao: Your recent order has been delayed. Track status: http://tao-security-updateorg/orderF2V0WU,1
AliExpress: Your parcel #K313DL was returned due to address mismatch. Update: http://ali-shipment-alertco/updateK313DL,1
Amazon: Incomplete payment for item #2FPC4J. Complete payment: http://amz-sg-warningnet/pay2FPC4J,1
Taobao: Your recent order has been delayed. Track status: http://taobao-sg-check.com/orderCJLZIW,1
Shopee: Your recent order has been delayed. Track status: http://shp-sg-alert.co/orderIXQFC6,1
Taobao: Tax not paid. Complete payment at: http://taobao-sg-check-com/taxP7M4FD,1
AliExpress SG: Customs fee required for delivery. Pay here: http://ali-shipment-alertco/customsGB09IJ,1
